vehicle_type,speed,heading,zone_type,gps_confidence,road_health,distance_to_polygon,hour_of_day,risk_category
Bike,72.8,258.9,Flood,0.852,95.1,44.3,18,MEDIUM
Truck,28.2,36.2,Hairpin,0.814,53.8,27.8,4,HIGH
Car,31.8,237.8,None,0.537,89.3,1799.4,19,LOW
Bus,85.6,89.3,School,0.842,75.2,0.0,20,HIGH
Tanker,64.0,46.7,Construction,0.451,44.9,0.0,19,HIGH
Auto,88.2,328.5,Hospital,0.81,28.8,0.0,3,HIGH
Auto,104.3,257.3,Bridge,0.735,16.8,0.0,6,MEDIUM
Ambulance,76.5,157.4,None,0.728,52.4,1226.4,3,MEDIUM
Auto,90.3,162.0,Flood,0.861,34.3,0.0,6,HIGH
Auto,28.7,100.1,Accident,0.756,24.0,0.0,2,HIGH
Bus,80.9,308.6,None,0.894,61.8,2240.8,5,MEDIUM
Bike,53.9,10.4,Accident,0.932,75.0,0.0,7,MEDIUM
Car,45.3,268.0,Flood,0.976,28.4,0.0,20,MEDIUM
Bus,100.9,141.7,School,0.762,31.0,0.0,2,HIGH
Bus,0.9,193.6,Hospital,0.521,69.0,89.7,20,MEDIUM
Tanker,38.1,300.1,None,0.849,18.5,1790.3,22,MEDIUM
Police,5.7,121.0,Flood,0.65,32.1,0.0,4,MEDIUM
Bike,82.3,142.7,None,0.628,25.6,2080.0,13,MEDIUM
Bus,47.0,212.4,Hairpin,0.625,65.4,31.0,5,MEDIUM
Auto,92.0,336.0,Hospital,0.989,74.9,29.0,9,MEDIUM
Car,96.5,65.0,Bridge,0.995,25.1,0.0,3,MEDIUM
Truck,60.5,43.8,None,0.788,15.3,1724.8,17,MEDIUM
Police,9.3,324.4,RoadBlock,0.756,84.6,0.0,1,MEDIUM
Bus,33.7,78.2,None,0.964,52.1,775.8,15,LOW
Car,64.8,331.4,Hairpin,0.741,26.8,179.0,11,MEDIUM
Ambulance,27.3,32.8,None,0.949,22.3,602.3,10,LOW
Police,6.0,235.7,Hairpin,0.566,39.3,0.0,23,HIGH
Bike,68.3,150.7,Accident,0.778,94.2,0.0,0,HIGH
Truck,39.5,257.7,Hospital,0.945,47.7,0.0,23,HIGH
Auto,101.7,273.7,None,0.612,32.5,1673.8,13,MEDIUM
Container,87.9,13.0,Bridge,0.998,25.7,0.0,10,MEDIUM
Lorry,105.1,148.5,None,0.808,49.1,1720.3,6,MEDIUM
Lorry,6.4,250.0,Hospital,0.857,39.1,0.0,18,HIGH
Ambulance,65.6,103.2,Flood,0.9,19.1,0.0,19,MEDIUM
Ambulance,105.8,153.3,None,0.81,65.0,2806.5,4,MEDIUM
Lorry,21.5,274.5,None,0.9,25.6,1182.6,8,LOW
Bus,45.9,107.9,Hairpin,0.852,34.4,170.9,18,MEDIUM
Bus,62.9,163.3,Construction,0.922,17.6,0.0,14,HIGH
Container,24.8,147.5,Bridge,0.681,82.0,0.0,19,LOW
Auto,51.5,78.1,Accident,0.873,56.9,156.0,17,MEDIUM
Truck,37.4,64.2,None,0.827,43.4,318.5,16,LOW
Lorry,105.4,156.2,None,0.786,78.0,2430.9,14,MEDIUM
Ambulance,60.8,175.4,Bridge,0.924,69.4,0.0,10,LOW
Lorry,18.4,351.3,Flood,0.828,89.9,3.2,0,MEDIUM
Car,97.5,97.5,Hairpin,0.704,80.8,0.0,23,HIGH
Car,60.8,347.4,None,0.649,15.0,1568.7,16,MEDIUM
Truck,95.8,76.6,None,0.891,49.6,1606.4,15,MEDIUM
Bike,69.5,287.4,School,0.921,69.2,143.8,23,MEDIUM
Lorry,61.4,20.3,Flood,0.922,11.7,0.0,9,HIGH
Truck,29.2,111.3,School,0.678,50.0,0.0,21,HIGH
Police,67.7,104.9,School,0.96,40.8,0.0,14,HIGH
Ambulance,0.4,9.9,Accident,0.72,48.3,0.0,20,MEDIUM
Car,68.7,85.3,Hospital,0.883,98.4,0.0,22,MEDIUM
Car,6.9,12.6,None,0.947,18.4,2770.6,13,LOW
Auto,37.8,326.0,RoadBlock,0.819,16.7,22.9,2,MEDIUM
Container,42.2,337.5,Hairpin,0.834,97.7,4.4,21,MEDIUM
Car,104.2,132.4,Construction,0.877,76.5,0.0,11,MEDIUM
Car,105.5,229.3,None,0.664,62.4,2613.9,11,LOW
Bike,104.9,242.5,Hospital,0.836,26.7,51.7,22,HIGH
Bus,33.5,129.3,None,0.808,58.4,1388.0,7,LOW
Police,69.8,297.1,RoadBlock,0.977,48.3,129.3,7,MEDIUM
Tanker,19.5,201.2,None,0.786,99.9,1779.7,8,LOW
Container,4.6,210.6,None,0.656,27.5,2924.4,14,LOW
Bike,39.8,215.9,Construction,0.625,46.3,0.0,22,MEDIUM
Bike,19.9,195.4,None,0.778,85.5,2839.0,14,LOW
Truck,30.0,60.9,RoadBlock,0.932,40.9,0.0,2,MEDIUM
Bus,76.4,144.1,None,0.952,91.6,2993.2,2,LOW
Tanker,18.1,19.6,Construction,0.995,28.1,155.1,4,MEDIUM
Lorry,78.4,227.9,School,0.906,30.1,0.0,13,HIGH
Bike,10.0,156.7,Flood,0.508,96.3,0.0,11,MEDIUM
Car,72.0,15.6,None,0.933,25.4,1738.1,6,LOW
Lorry,77.4,72.7,None,0.656,68.8,2985.7,13,MEDIUM
Container,103.2,1.5,None,0.825,95.0,1871.2,18,MEDIUM
Bike,78.7,273.5,None,0.854,58.4,1820.0,14,LOW
Bus,59.8,35.6,None,0.842,60.5,2109.1,5,LOW
Lorry,58.5,155.9,None,0.928,78.2,1315.7,11,LOW
Car,32.7,168.9,Flood,0.851,31.2,0.0,9,MEDIUM
Bus,105.0,344.2,Accident,0.629,60.3,170.1,17,HIGH
Bus,109.6,182.4,Flood,0.854,60.0,0.0,7,HIGH
Container,55.5,329.0,Flood,0.85,70.8,0.0,8,MEDIUM
Lorry,20.9,332.6,Hairpin,0.905,85.6,72.7,10,MEDIUM
Bus,47.0,352.5,None,0.834,47.1,2176.7,14,LOW
Bus,12.0,97.1,None,0.913,70.8,2804.2,3,LOW
Ambulance,26.1,249.0,None,0.855,75.3,2055.3,4,LOW
Container,37.0,60.9,Flood,0.362,40.5,0.0,23,HIGH
Bike,23.3,95.4,None,0.919,77.2,1043.9,20,LOW
Police,73.5,257.4,None,0.86,96.3,2600.6,18,LOW
Auto,18.5,117.3,None,0.97,58.6,2103.7,10,LOW
Police,46.3,306.6,Hairpin,0.598,89.1,0.0,21,MEDIUM
Tanker,32.1,84.2,School,0.748,39.1,0.0,19,HIGH
Police,106.8,261.1,None,0.836,58.3,2522.6,2,MEDIUM
Auto,67.7,227.5,RoadBlock,0.875,37.5,92.5,16,MEDIUM
Tanker,20.5,228.4,RoadBlock,0.769,89.9,0.0,2,MEDIUM
Police,75.0,121.7,Hospital,0.302,54.4,59.9,12,MEDIUM
Container,35.9,345.0,Hairpin,0.934,47.5,149.0,11,MEDIUM
Ambulance,94.2,111.3,None,0.926,37.8,2070.3,12,LOW
Tanker,62.2,156.6,None,0.683,91.1,856.4,11,LOW
Police,95.5,231.3,Hospital,0.694,42.1,0.0,23,HIGH
Ambulance,35.0,223.0,None,0.892,86.7,816.7,9,LOW
Ambulance,1.9,222.3,None,0.811,24.5,2226.3,4,LOW
Auto,47.5,160.1,Hospital,0.975,25.6,0.0,6,MEDIUM
Bike,36.3,83.0,None,0.966,10.7,2965.4,2,LOW
Auto,72.5,131.2,None,0.979,89.5,634.0,2,LOW
Tanker,92.4,43.6,None,0.754,96.4,2649.1,5,MEDIUM
Auto,83.0,335.1,Flood,0.825,81.7,0.0,5,MEDIUM
Tanker,85.2,94.2,None,0.867,96.4,1071.6,1,MEDIUM
Tanker,85.6,307.1,None,0.37,77.9,758.7,15,MEDIUM
Police,97.7,139.1,Bridge,0.863,63.7,0.0,0,MEDIUM
Tanker,18.9,151.0,None,0.676,62.3,1636.7,3,MEDIUM
Tanker,92.8,84.3,None,0.734,40.0,1466.6,5,MEDIUM
Lorry,2.9,33.0,School,0.536,10.7,0.0,8,HIGH
Truck,10.3,280.4,None,0.497,49.4,2582.7,18,LOW
Ambulance,18.4,95.3,None,0.949,18.5,1175.3,20,LOW
Truck,78.0,81.1,None,0.744,63.3,1535.4,16,MEDIUM
Car,104.0,268.4,None,0.849,93.5,846.3,5,LOW
Bus,29.7,147.7,None,0.597,35.4,1688.4,14,MEDIUM
Bus,9.2,328.6,None,0.986,32.7,1187.1,5,LOW
Container,88.0,299.5,None,0.572,90.0,735.6,20,MEDIUM
Container,74.6,209.1,Hairpin,0.756,29.5,0.0,9,HIGH
Truck,44.0,67.8,RoadBlock,0.619,42.1,120.6,5,MEDIUM
Auto,61.2,145.3,Accident,0.82,86.5,29.9,10,MEDIUM
Tanker,3.3,335.1,None,0.401,53.4,2909.1,21,MEDIUM
Container,73.9,55.2,Construction,0.761,11.9,188.9,18,MEDIUM
Bus,18.7,3.4,School,0.863,89.1,0.0,16,MEDIUM
Police,45.2,199.2,None,0.821,54.2,153.5,10,LOW
Bus,16.3,135.8,Construction,0.87,90.0,0.0,4,MEDIUM
Lorry,14.7,175.6,Construction,0.754,13.0,0.0,14,HIGH
Truck,32.8,303.4,Flood,0.94,90.4,0.0,15,MEDIUM
Container,20.0,43.2,Flood,0.954,77.7,0.0,19,MEDIUM
Container,67.4,247.1,Accident,0.176,68.0,123.0,9,HIGH
Truck,79.1,230.8,Bridge,0.906,10.1,0.0,22,MEDIUM
Lorry,65.0,349.0,None,0.975,79.6,824.1,4,LOW
Truck,67.0,246.9,None,0.902,90.6,2598.5,22,MEDIUM
Truck,18.0,9.3,Hospital,0.896,43.6,0.0,15,HIGH
Car,49.8,113.2,RoadBlock,0.649,61.6,0.0,1,MEDIUM
Bike,32.0,285.2,Hairpin,0.805,66.8,0.0,3,MEDIUM
Car,104.2,104.7,Hospital,0.864,76.7,0.0,21,MEDIUM
Truck,52.2,39.5,Construction,0.616,47.2,31.1,6,MEDIUM
Lorry,86.4,43.8,Accident,0.894,38.3,17.8,11,HIGH
Bus,51.1,268.6,None,0.899,99.1,2442.2,18,LOW
Bus,20.7,76.1,Bridge,0.929,75.2,38.0,18,LOW
Auto,100.0,297.2,School,0.85,18.5,64.5,6,HIGH
Tanker,109.2,243.6,Accident,0.643,32.4,47.7,0,HIGH
Truck,21.2,206.3,RoadBlock,0.94,11.2,96.9,22,MEDIUM
Auto,6.1,351.0,Accident,0.596,78.3,0.0,21,MEDIUM
Bus,62.5,292.3,None,0.801,46.5,1749.4,12,MEDIUM
Bike,87.0,250.3,Bridge,0.894,73.8,0.0,3,MEDIUM
Container,81.6,248.9,Construction,0.913,88.9,0.0,3,HIGH
Police,106.1,208.7,None,0.76,45.6,887.2,22,MEDIUM
Car,32.1,44.2,Hospital,0.865,33.3,0.0,15,MEDIUM
Tanker,71.8,43.5,None,0.907,63.9,800.5,19,LOW
Police,54.0,26.6,Bridge,0.908,71.9,198.6,13,LOW
Ambulance,43.5,224.2,RoadBlock,0.935,35.1,0.0,15,MEDIUM
Container,46.9,47.0,Accident,0.491,22.6,0.0,21,HIGH
Truck,108.4,34.6,None,0.92,57.2,1284.0,14,MEDIUM
Truck,34.1,106.7,Construction,0.916,81.9,0.0,12,MEDIUM
Auto,68.0,165.2,Construction,0.6,46.2,14.3,5,MEDIUM
Lorry,56.8,124.2,None,0.846,68.9,400.1,6,LOW
Ambulance,27.9,329.9,Construction,0.966,36.3,0.0,13,MEDIUM
Tanker,60.8,250.1,None,0.72,32.9,2459.5,20,MEDIUM
Container,68.0,300.9,None,0.908,22.5,1782.6,21,MEDIUM
Ambulance,97.7,170.0,None,0.789,50.2,602.1,16,LOW
Police,5.3,88.5,Construction,0.981,13.2,0.0,8,MEDIUM
Lorry,65.1,128.6,Flood,0.969,78.7,0.0,3,HIGH
Truck,94.8,54.1,None,0.874,92.6,326.5,21,LOW
Bus,47.0,191.1,None,0.863,41.6,892.8,19,LOW
Bus,63.5,335.1,None,0.644,93.8,2310.5,19,LOW
Truck,57.2,73.3,None,0.847,27.6,1839.1,14,LOW
Police,36.5,3.3,None,0.949,44.1,127.8,16,LOW
Container,31.2,42.8,School,0.735,42.5,0.0,13,HIGH
Truck,46.7,328.7,None,0.515,18.1,1990.7,14,MEDIUM
Ambulance,53.6,283.8,None,0.537,98.3,2510.1,14,LOW
Bus,100.3,91.3,None,0.865,11.7,2899.6,22,MEDIUM
Ambulance,16.4,294.2,Flood,0.953,41.3,0.0,22,MEDIUM
Truck,1.7,23.1,None,0.563,32.0,1765.7,21,MEDIUM
Bike,84.5,103.7,None,0.955,23.8,1917.9,15,MEDIUM
Bus,8.1,68.1,Hairpin,0.966,63.0,0.0,8,MEDIUM
Ambulance,93.2,176.6,None,0.891,96.9,1591.5,9,LOW
Car,52.1,271.2,Hairpin,0.85,29.0,0.0,11,MEDIUM
Auto,19.8,124.7,School,0.8,20.9,65.9,10,MEDIUM
Ambulance,61.9,67.2,None,0.802,35.3,157.7,11,LOW
Car,59.5,343.4,Bridge,0.634,74.7,0.0,7,LOW
Auto,107.2,247.3,Hospital,0.664,37.3,156.8,2,HIGH
Truck,32.6,202.0,None,0.846,58.8,919.2,5,LOW
Container,35.6,126.2,Hairpin,0.978,42.1,0.0,21,HIGH
Auto,80.2,247.9,None,0.984,47.3,1357.3,8,LOW
Police,51.4,253.0,School,0.927,61.1,0.0,12,MEDIUM
Container,77.6,192.9,Construction,0.455,36.0,0.0,3,HIGH
Lorry,17.2,229.5,None,0.969,84.9,2653.7,15,LOW
Container,66.8,309.0,Accident,0.875,52.5,62.8,9,MEDIUM
Ambulance,95.7,61.2,RoadBlock,0.699,88.9,0.0,20,MEDIUM
Truck,64.5,27.7,RoadBlock,0.904,41.2,0.0,8,MEDIUM
Auto,47.7,164.8,None,0.632,15.5,1519.1,7,LOW
Truck,89.5,35.5,Construction,0.616,60.9,94.2,10,MEDIUM
Auto,97.7,275.2,None,0.71,87.8,2785.4,13,LOW
Truck,2.6,18.5,None,0.823,20.7,333.3,16,LOW
Ambulance,17.2,89.7,None,0.667,58.5,1601.4,6,LOW
Tanker,1.0,0.6,None,0.427,90.5,2793.0,21,LOW
Bus,107.3,337.1,School,0.965,90.0,170.4,22,HIGH
Bus,47.7,272.4,None,0.636,92.4,963.8,6,LOW
Police,104.5,54.4,None,0.633,84.6,2216.1,20,LOW
Auto,23.0,340.6,None,0.871,48.0,598.3,18,LOW
Car,39.4,69.3,RoadBlock,0.882,61.2,0.0,14,MEDIUM
Bus,70.0,247.5,None,0.362,87.4,2355.7,13,MEDIUM
Truck,27.0,275.7,RoadBlock,0.682,10.4,0.0,8,HIGH
Bus,77.5,55.8,None,0.579,26.7,692.9,21,MEDIUM
Ambulance,26.3,81.3,Bridge,0.925,74.7,0.0,4,LOW
Lorry,5.4,315.2,None,0.723,47.0,1177.6,14,LOW
Ambulance,32.7,54.7,None,0.887,62.1,2964.0,20,LOW
Lorry,41.0,164.3,Accident,0.863,98.8,0.0,4,MEDIUM
Tanker,16.5,152.0,Accident,0.953,34.5,71.0,1,MEDIUM
Police,10.4,153.7,School,0.841,99.0,0.0,2,MEDIUM
Tanker,105.8,279.9,Hospital,0.767,93.2,0.0,11,HIGH
Truck,92.8,241.6,None,0.749,84.7,2525.9,23,MEDIUM
Lorry,89.6,231.6,Construction,0.903,17.9,126.5,23,HIGH
Truck,55.4,189.1,None,0.905,57.7,184.2,15,LOW
Lorry,4.5,219.9,Construction,0.593,64.9,0.0,10,MEDIUM
Ambulance,67.4,225.6,Bridge,0.684,95.6,0.0,6,LOW
Bus,73.9,35.7,RoadBlock,0.95,59.2,0.0,14,MEDIUM
Auto,109.5,322.1,Hairpin,0.721,69.0,0.0,17,HIGH
Truck,35.5,152.4,None,0.889,90.5,1540.2,17,LOW
Lorry,59.9,343.4,None,0.873,27.6,431.5,4,MEDIUM
Container,81.4,276.4,None,0.906,90.0,2980.7,0,MEDIUM
Auto,9.5,309.5,Hairpin,0.952,60.6,3.7,21,MEDIUM
Car,45.3,26.3,Bridge,0.893,77.2,0.0,17,LOW
Container,7.9,256.9,Construction,0.817,50.6,150.0,7,MEDIUM
Ambulance,99.2,17.9,School,0.913,42.5,0.0,8,HIGH
Lorry,69.4,335.4,None,0.845,25.3,1535.2,6,MEDIUM
Bus,51.9,343.3,None,0.861,41.3,1259.6,20,LOW
Ambulance,39.7,296.7,Hairpin,0.812,53.9,0.0,2,HIGH
Police,16.6,219.5,None,0.895,63.8,632.3,23,LOW
Container,31.3,149.6,None,0.54,68.9,992.5,3,MEDIUM
Tanker,13.9,273.1,Hospital,0.934,58.0,0.0,13,MEDIUM
Bike,4.6,259.0,None,0.438,23.4,2956.6,14,LOW
Car,97.8,276.9,Accident,0.64,40.2,197.1,14,HIGH
Bus,57.4,50.5,School,0.92,47.7,0.0,6,MEDIUM
Container,39.0,352.7,Hospital,0.937,99.5,0.0,5,MEDIUM
Bus,61.1,174.0,None,0.911,34.5,2327.0,10,MEDIUM
Bus,93.8,279.6,None,0.457,85.7,2063.9,5,MEDIUM
Container,76.8,192.4,None,0.928,54.3,2678.7,6,LOW
Container,38.1,132.6,Accident,0.45,34.9,0.0,12,HIGH
Auto,13.2,315.7,Bridge,0.335,26.6,0.0,0,MEDIUM
Auto,45.0,251.0,Bridge,0.47,65.6,0.0,14,LOW
Bus,36.8,316.4,Hairpin,0.829,58.8,0.0,19,MEDIUM
Tanker,76.7,170.8,Flood,0.764,98.6,0.0,11,MEDIUM
Auto,86.8,118.5,Construction,0.885,59.8,0.0,22,HIGH
Police,42.9,179.0,None,0.716,13.3,638.2,3,LOW
Lorry,84.2,145.4,RoadBlock,0.886,19.9,0.0,9,HIGH
Ambulance,18.5,124.0,Flood,0.863,27.2,0.0,6,MEDIUM
Tanker,72.3,69.2,RoadBlock,0.904,68.0,0.0,5,MEDIUM
Bus,1.3,194.2,School,0.766,52.4,0.0,8,MEDIUM
Police,6.2,146.7,Bridge,0.995,22.1,0.0,18,LOW
Police,98.4,68.2,Hospital,0.949,32.6,0.0,15,HIGH
Container,93.8,208.2,None,0.788,11.7,279.7,21,MEDIUM
Ambulance,97.7,311.9,None,0.731,48.5,428.9,23,MEDIUM
Truck,47.7,164.2,Construction,0.953,58.3,88.5,1,MEDIUM
Lorry,84.9,185.5,None,0.617,46.5,2786.1,11,MEDIUM
Auto,38.8,164.7,Hairpin,0.615,76.5,0.0,8,MEDIUM
Ambulance,1.9,172.2,None,0.705,76.6,1660.6,12,LOW
Bus,9.6,332.5,Hairpin,0.793,29.0,167.6,5,MEDIUM
Bike,31.9,67.0,None,0.957,94.6,507.8,10,LOW
Bus,7.8,200.2,Hospital,0.937,32.9,0.0,22,HIGH
Bus,55.1,85.9,None,0.334,11.5,1614.1,3,MEDIUM
Bus,36.9,0.5,None,0.916,55.7,2108.1,8,LOW
Ambulance,69.3,288.5,None,0.671,47.6,2304.6,8,LOW
Tanker,19.2,121.6,None,0.959,81.8,2381.2,13,LOW
Container,40.1,355.0,None,0.583,77.4,668.8,4,LOW
Police,51.5,309.4,Hairpin,0.679,35.6,0.0,4,HIGH
Bus,13.6,247.8,Hairpin,0.907,21.2,0.0,8,HIGH
Police,21.4,149.2,None,0.681,12.0,2800.0,3,MEDIUM
Police,75.5,12.3,Hairpin,0.839,47.8,0.0,11,HIGH
Bike,48.1,27.0,None,0.679,18.4,2393.2,14,LOW
Bus,8.3,24.6,Construction,0.967,16.9,0.0,2,MEDIUM
Tanker,78.7,290.4,Accident,0.9,33.2,0.0,23,HIGH
Tanker,81.4,217.2,RoadBlock,0.803,76.2,103.1,0,MEDIUM
Auto,81.3,325.7,Accident,0.642,94.2,0.0,2,HIGH
Police,14.0,155.3,Construction,0.671,16.4,0.0,0,MEDIUM
Truck,85.1,301.2,None,0.863,21.2,1100.6,11,MEDIUM
Truck,15.1,358.4,None,0.995,61.4,534.9,4,LOW
Police,86.2,119.3,None,0.477,64.7,1226.3,14,MEDIUM
Tanker,55.4,276.0,School,0.892,48.8,0.0,1,HIGH
Police,45.2,216.4,None,0.721,60.3,1679.3,23,LOW
Auto,22.6,249.6,Flood,0.606,43.7,0.0,1,MEDIUM
Tanker,49.8,284.8,None,0.724,62.2,788.7,1,MEDIUM
Bike,43.8,272.2,None,0.659,32.6,1549.0,2,LOW
Bus,82.1,202.0,Bridge,0.916,28.3,0.0,2,MEDIUM
Lorry,18.9,353.4,Accident,0.905,73.6,0.0,12,MEDIUM
Bus,75.7,97.8,Construction,0.792,68.9,0.0,15,HIGH
Tanker,40.3,231.7,Flood,0.745,52.5,0.0,21,MEDIUM
Container,45.6,191.9,RoadBlock,0.806,50.1,0.0,14,MEDIUM
Police,54.5,312.4,None,0.833,76.9,506.1,18,LOW
Truck,73.8,84.8,None,0.829,31.6,390.1,11,MEDIUM
Ambulance,76.1,10.4,None,0.699,30.3,1881.8,2,MEDIUM
Container,3.1,334.5,None,0.796,45.4,2042.8,21,LOW
Bus,51.7,137.8,None,0.892,22.2,1826.6,16,LOW
Bike,37.7,81.1,Hospital,0.418,54.2,0.0,14,MEDIUM
Police,61.5,240.3,None,0.901,60.4,2611.9,4,LOW
Tanker,97.1,25.1,Bridge,0.994,77.0,180.8,13,LOW
Car,0.9,77.8,Hospital,0.733,63.7,0.0,16,MEDIUM
Ambulance,3.9,184.4,None,0.65,52.1,2588.2,3,LOW
Auto,37.7,95.7,None,0.918,98.3,2163.4,11,LOW
Truck,46.0,250.9,School,0.933,29.0,0.0,23,HIGH
Bus,74.9,88.8,Accident,0.576,57.6,0.0,1,HIGH
Tanker,54.3,107.2,None,0.977,19.8,2272.9,18,LOW
Police,33.6,341.6,None,0.531,17.1,441.3,10,LOW
Bus,19.3,278.1,RoadBlock,0.823,56.0,0.0,2,MEDIUM
Auto,60.7,351.5,None,0.884,44.1,2472.5,21,LOW
Bike,100.4,72.6,School,0.869,27.3,0.0,12,HIGH
Bus,44.1,285.6,None,0.742,58.2,2587.6,14,LOW
Auto,6.4,189.0,None,0.884,46.6,2610.9,9,LOW
Auto,103.3,356.4,None,0.936,65.8,2760.3,22,MEDIUM
Ambulance,51.0,37.2,None,0.798,11.6,2982.6,2,LOW
Car,59.8,170.0,RoadBlock,0.926,34.4,0.0,0,MEDIUM
Lorry,56.9,70.6,School,0.703,26.3,0.0,15,HIGH
Lorry,70.6,240.2,None,0.674,36.8,629.5,20,MEDIUM
Bike,67.8,84.0,RoadBlock,0.427,53.7,0.0,9,HIGH
Bus,71.6,127.9,None,0.885,41.4,2515.7,13,LOW
Bus,76.7,248.2,Flood,0.849,66.3,79.0,22,MEDIUM
Police,108.9,171.9,None,0.606,64.3,2800.6,0,MEDIUM
Auto,93.5,24.3,Bridge,0.897,25.4,0.0,9,MEDIUM
Ambulance,2.4,83.7,Hairpin,0.668,14.6,0.0,0,HIGH
Ambulance,25.0,198.7,None,0.939,62.8,2127.7,15,LOW
Auto,57.8,299.7,None,0.873,73.5,1241.6,1,LOW
Police,30.0,1.2,None,0.762,30.5,1904.4,7,LOW
Bike,1.3,175.4,School,0.917,63.8,0.0,18,MEDIUM
Truck,43.8,114.6,None,0.893,26.8,1910.8,20,LOW
Police,74.7,175.0,Construction,0.686,84.7,0.0,19,MEDIUM
Container,97.8,115.7,None,0.972,52.0,2703.7,22,MEDIUM
Bus,16.5,296.5,None,0.967,71.6,1906.2,23,LOW
Container,16.8,303.3,None,0.961,37.9,2268.9,7,LOW
Auto,61.2,317.0,None,0.975,46.1,1500.2,19,LOW
Police,39.1,115.6,Flood,0.623,60.9,0.0,23,MEDIUM
Ambulance,7.6,310.3,None,0.987,75.2,1391.4,15,LOW
Bus,6.6,286.3,RoadBlock,0.969,40.7,0.0,22,MEDIUM
Police,34.3,157.3,Flood,0.985,88.0,0.0,6,MEDIUM
Police,74.8,196.7,Construction,0.903,84.5,0.0,15,MEDIUM
Lorry,98.8,226.1,Hairpin,0.836,55.8,0.0,11,HIGH
Container,81.0,196.2,Accident,0.863,65.3,0.0,16,HIGH
Truck,79.5,292.6,None,0.789,54.9,653.0,13,LOW
Lorry,60.8,146.3,Construction,0.861,15.2,171.4,7,MEDIUM
Container,105.7,247.1,None,0.884,78.9,1199.5,1,MEDIUM
Bike,52.7,66.8,None,0.83,51.9,350.9,4,LOW
Bike,6.3,134.4,Construction,0.84,81.8,142.3,1,MEDIUM
Police,58.0,184.7,None,0.824,33.7,2716.7,3,LOW
Auto,31.3,234.8,Construction,0.985,14.4,149.1,1,MEDIUM
Bus,82.1,240.8,Construction,0.92,19.2,0.0,11,HIGH
Tanker,38.4,288.9,None,0.9,81.8,719.8,16,LOW
Truck,29.4,83.7,Flood,0.962,88.7,114.5,11,LOW
Bus,96.6,70.3,Construction,0.956,81.5,0.0,14,HIGH
Car,103.6,143.0,Bridge,0.981,28.7,0.0,10,MEDIUM
Bus,12.2,11.4,Hospital,0.606,20.3,0.0,11,HIGH
Ambulance,14.2,302.6,None,0.94,63.5,2423.4,20,LOW
Bus,29.1,75.4,None,0.526,60.7,2233.5,7,LOW
Ambulance,29.7,126.6,None,0.849,100.0,1362.3,13,LOW
Bike,47.1,302.5,None,0.724,64.8,2641.0,0,LOW
Car,97.2,39.0,Hospital,0.878,46.7,0.0,10,HIGH
Bus,62.2,34.5,None,0.876,90.8,936.5,1,LOW
Car,27.4,337.2,Flood,0.949,12.3,48.2,1,MEDIUM
Bike,85.2,86.2,None,0.934,32.0,1191.5,13,MEDIUM
Bike,33.1,39.4,None,0.41,59.0,193.4,23,LOW
Container,68.1,19.9,School,0.927,92.0,0.0,16,HIGH
Bus,33.6,210.6,None,0.743,10.3,2303.2,14,MEDIUM
Bike,83.8,283.2,None,0.854,26.0,2078.5,22,MEDIUM
Ambulance,58.4,29.9,RoadBlock,0.604,66.0,0.0,2,MEDIUM
Container,32.9,42.8,None,0.995,63.0,1694.1,23,LOW
Bus,8.6,338.6,None,0.845,46.2,305.6,6,LOW
Bike,84.4,25.6,None,0.906,45.4,730.0,16,LOW
Bus,83.5,281.6,School,0.776,33.1,0.0,17,HIGH
Lorry,37.4,153.7,None,0.469,52.4,2359.7,23,MEDIUM
Bike,70.5,21.8,Construction,0.863,38.2,77.4,1,MEDIUM
Tanker,100.0,300.4,None,0.891,19.6,948.5,3,MEDIUM
Truck,60.7,23.0,None,0.742,59.6,826.5,9,MEDIUM
Car,40.8,34.7,None,0.616,13.0,2990.6,10,LOW
Auto,10.9,245.1,Bridge,0.603,32.5,0.0,9,MEDIUM
Auto,37.6,344.4,Flood,0.959,24.1,42.9,12,MEDIUM
Lorry,40.3,316.0,Construction,0.834,61.2,0.0,16,MEDIUM
Container,47.8,40.2,None,0.837,64.7,2174.5,3,LOW
Ambulance,41.0,244.0,None,0.774,17.5,892.6,2,LOW
Ambulance,32.7,201.3,Flood,0.844,50.7,0.0,6,MEDIUM
Container,88.3,203.0,None,0.704,61.9,2808.3,18,MEDIUM
Ambulance,35.5,131.3,None,0.581,23.5,1388.1,18,LOW
Ambulance,19.5,237.7,None,0.898,86.6,1429.6,22,LOW
Police,2.6,177.6,None,0.854,60.7,322.9,5,LOW
Bus,88.0,332.2,None,0.974,68.6,1651.2,22,MEDIUM
Bike,50.5,325.8,Construction,0.992,77.5,41.7,6,LOW
Car,75.6,125.4,Accident,0.656,34.9,80.1,11,MEDIUM
Truck,74.8,319.8,None,0.872,33.8,741.7,3,MEDIUM
Auto,21.5,46.9,None,0.864,94.0,2291.6,1,LOW
Truck,86.9,37.6,None,0.98,84.0,2358.1,9,MEDIUM
Tanker,97.9,333.2,None,0.844,23.9,2598.3,15,MEDIUM
Bus,36.2,132.2,Flood,0.724,46.6,7.2,13,MEDIUM
Tanker,40.8,62.0,None,0.848,63.0,512.1,6,LOW
Police,28.5,196.1,School,0.903,95.3,0.0,17,MEDIUM
